Epoch,Train Loss,Validation Loss,Validation Accuracy (%),Learning Rate,Time (m)
1,2.5751,2.4921,12.24,0.0001,1.39
2,2.5255,2.4257,8.16,0.0001,1.09
3,2.4888,2.3909,14.29,0.0001,1.09
4,2.3137,2.1815,16.33,0.0001,1.07
5,1.9492,1.8469,30.61,0.0001,1.07
6,1.3786,1.8103,38.78,0.0001,1.07
7,0.8643,1.7420,42.86,0.0001,1.07
8,0.4419,2.3045,41.84,0.0001,1.07
9,0.2213,3.4026,47.96,0.0001,1.07
10,0.1511,3.4270,47.96,0.0001,1.07
11,0.1392,2.9539,48.98,0.0001,1.07
12,0.0742,2.8706,45.92,0.0001,1.07
13,0.0317,3.0060,51.02,0.0001,1.07
14,0.0611,3.6865,48.98,0.0001,1.07
15,0.0353,4.1470,48.98,0.0001,1.07
16,0.0091,4.0641,48.98,0.0001,1.07
17,0.0055,5.1106,44.90,0.0001,1.07
18,0.0290,5.0053,45.92,0.0001,1.07
19,0.0414,4.1434,46.94,0.0001,1.07
20,0.0176,3.8906,47.96,0.0001,1.07
21,0.0061,5.6212,46.94,0.0001,1.07
22,0.0242,6.1526,40.82,0.0001,1.07
23,0.0632,3.3379,43.88,0.0001,1.07
24,0.0317,3.2418,46.94,0.0001,1.07
25,0.0016,4.5985,50.00,0.0001,1.08
